species,aggregation,ala.Elevation,no grid cells present,range envelope
E. amygdalina,87,250.2406272,417,362.79
E. archeri,28,959.6833977,20,5.6
E. barberi,68,193.1203852,17,11.56
E. brookeriana,22,343.9410289,81,17.82
E. coccifera,49,879.1909425,139,68.11
E. cordata,37,347.324066,25,9.25
E. dalrympleana,54,621.8517888,176,95.04
E. delegatensis,68,626.9615493,349,237.32
E. globulus,54,193.5363485,211,113.94
E. gunnii,36,911.9849669,100,36
E. johnstonii,41,589.3535912,47,19.27
E. morrisbyi,33,56.44444444,2,0.66
E. nebulosa,,197.8648649,,
E. nitida,76,259.3985898,292,221.92
E. obliqua,68,254.9254629,436,296.48
E. ovata,49,214.2151817,412,201.88
E. pauciflora,55,511.6820542,170,93.5
E. perriniana,14,514.0917874,4,0.56
E. pulchella,70,243.7300337,126,88.2
E. radiata,88,386.6619718,7,6.16
E. regnans,40,356.790705,171,68.4
E. risdonii,100,135.9591503,4,4
E. rodwayi,36,563.3186373,135,48.6
E. rubida,55,402.0018939,86,47.3
E. sieberi,73,201.5812721,37,27.01
E. subcrenulata,43,845.019802,65,27.95
E. tenuiramis,78,258.0384401,118,92.04
E. urnigera,21,786.2810328,29,6.09
E. vernicosa,41,709.0313901,76,31.16
E. viminalis,71,251.2405986,424,301.04
